emotion ,Song,songName,artist,coverImage,duration
happy,spotify:track:7KCWmFdw0TzoJbKtqRRzJO,Fantasy - Felix Jaehn Remix,"Alina Baraz, Galimatias, Felix Jaehn",https://i.scdn.co/image/ab67616d0000b273f22b74b25d79b7b99fb845b8,3:14
,,,,,
happy,spotify:track:3yUJKPsjvThlcQWTS9ttYx,Pretty Wings,Zak Waters,https://i.scdn.co/image/ab67616d0000b27318ae1b465c7460d7687fb015,3:45
,,,,,
happy,spotify:track:5JP1cMCDxX4k2gwfSgt8Lf,Idle Hands,EXGF,https://i.scdn.co/image/ab67616d0000b2735cb34cf4b9540f5f68f810f7,3:13
happy,spotify:track:73xsMXuRNB3yqLeNc7NXBq,Religion,Tongues.,https://i.scdn.co/image/ab67616d0000b273147fe2e8f7354711884f16c8,4:13
happy,spotify:track:5ZWMcomAviWuMGZWbBxmGd,Coastin' feat. K. Flay - Dirty,Zion I,https://i.scdn.co/image/ab67616d0000b2731438f888a2fe2a1dca32ad9c,4:26
happy,spotify:track:1zDHb1p9J2SUVGqttkIwlW,Call Me Crazy,PJ Simas,https://i.scdn.co/image/ab67616d0000b2739d8224d106c42e53225d8c80,3:52
,,,,,
happy,spotify:track:1Yt78wXs4KUeMrOxZu8dQT,Party & Bullshit In The USA,DJ Crazy J Rodriguez,https://i.scdn.co/image/ab67616d0000b273dd796ad0608f98878156753c,3:21
,,,,,
,,,,,
bright,spotify:track:0sUQj8SflMlJrqJE7Z4u9o,Give Peace A Chance - Remastered 2010,The Plastic Ono Band,https://i.scdn.co/image/ab67616d0000b273ed078c36dc00a6aec6ef323d,4:52
,,,,,
bright,spotify:track:02RMa3sVmL0j3VzocNW97s,Sailing Away,Travis,https://i.scdn.co/image/ab67616d0000b273443f3925eb0e8292d3c38594,3:31
bright,spotify:track:7qYjoQkDRzb3Q3hfe2jsmL,Enemies / Friends,Hope Of The States,https://i.scdn.co/image/ab67616d0000b27373735193aaa794e2f1d9a079,4:40
bright,spotify:track:6OctMHdrxZSNTF5q9V4zPN,The Sound,Human Highway,https://i.scdn.co/image/ab67616d0000b273f829f51bf8f14ee4286de0a3,2:44
,,,,,
,,,,,
bright,spotify:track:3qfqO0imta5gIfTwHNZmmR,Fairy Princess,Eve's Plum,https://i.scdn.co/image/ab67616d0000b273e4962e759db02f7fa52978c2,3:50
fun,spotify:track:4fK6E2UywZTJIa5kWnCD6x,Friday,Rebecca Black,https://i.scdn.co/image/ab67616d0000b27366fdc5bf51b26c4828199f6c,3:30
,,,,,
fun,spotify:track:7bBgnv7xUbujJRp4RJJX8Y,Wasted & Ready,Ben Kweller,https://i.scdn.co/image/ab67616d0000b2732b9aa7f4dc9ed3215fab3c3d,3:51
fun,spotify:track:7EAtZT0UPVVEQxi6SsmqIy,Viva La White Girl,Gym Class Heroes,https://i.scdn.co/image/ab67616d0000b2736c3cac3cd03598c43eaf3663,3:53
,,,,,
